event_id,user_id,event_type,event_date,plan_tier,amount_usd
1,1,trial_started,2025-10-16,free,0.0
2,2,trial_started,2024-08-16,free,0.0
3,3,trial_started,2025-08-27,free,0.0
4,3,trial_converted,2025-09-14,starter,9.99
5,3,subscription_renewed,2025-10-14,starter,9.99
6,3,subscription_cancelled,2025-11-01,starter,0.0
7,4,trial_started,2025-06-01,free,0.0
8,4,trial_converted,2025-06-14,pro,29.99
9,4,subscription_renewed,2025-07-14,pro,29.99
10,4,subscription_renewed,2025-08-13,pro,29.99
11,4,subscription_renewed,2025-09-12,pro,29.99
12,4,subscription_cancelled,2025-09-23,pro,0.0
13,5,trial_started,2024-08-13,free,0.0
14,5,trial_converted,2024-08-24,starter,9.99
15,5,subscription_renewed,2024-09-23,starter,9.99
16,5,subscription_renewed,2024-10-23,starter,9.99
17,5,subscription_renewed,2024-11-22,starter,9.99
18,5,subscription_renewed,2024-12-22,starter,9.99
19,5,subscription_renewed,2025-01-21,starter,9.99
20,5,subscription_renewed,2025-02-20,starter,9.99
21,5,subscription_renewed,2025-03-22,starter,9.99
22,5,subscription_renewed,2025-04-21,starter,9.99
23,5,subscription_renewed,2025-05-21,starter,9.99
24,5,subscription_renewed,2025-06-20,starter,9.99
25,5,subscription_renewed,2025-07-20,starter,9.99
26,5,subscription_renewed,2025-08-19,starter,9.99
27,5,subscription_renewed,2025-09-18,starter,9.99
28,5,subscription_renewed,2025-10-18,starter,9.99
29,5,subscription_renewed,2025-11-17,starter,9.99
30,5,subscription_renewed,2025-12-17,starter,9.99
31,5,subscription_renewed,2026-01-16,starter,9.99
32,6,trial_started,2025-12-15,free,0.0
33,6,trial_converted,2026-01-02,starter,9.99
34,7,trial_started,2024-12-10,free,0.0
35,8,trial_started,2024-12-18,free,0.0
36,8,trial_converted,2025-01-07,pro,29.99
37,8,subscription_renewed,2025-02-06,pro,29.99
38,8,subscription_renewed,2025-03-08,pro,29.99
39,8,subscription_renewed,2025-04-07,pro,29.99
40,8,subscription_renewed,2025-05-07,pro,29.99
41,8,subscription_renewed,2025-06-06,pro,29.99
42,8,subscription_renewed,2025-07-06,pro,29.99
43,8,subscription_renewed,2025-08-05,pro,29.99
44,8,subscription_renewed,2025-09-04,pro,29.99
45,8,subscription_renewed,2025-10-04,pro,29.99
46,8,subscription_renewed,2025-11-03,pro,29.99
47,8,subscription_renewed,2025-12-03,pro,29.99
48,8,subscription_renewed,2026-01-02,pro,29.99
49,9,trial_started,2025-07-03,free,0.0
50,10,trial_started,2025-07-19,free,0.0
51,10,trial_converted,2025-07-29,starter,9.99
52,10,subscription_renewed,2025-08-28,starter,9.99
53,10,subscription_renewed,2025-09-27,starter,9.99
54,10,subscription_renewed,2025-10-27,starter,9.99
55,10,subscription_renewed,2025-11-26,starter,9.99
56,10,subscription_renewed,2025-12-26,starter,9.99
57,10,subscription_renewed,2026-01-25,starter,9.99
58,11,trial_started,2025-08-14,free,0.0
59,12,trial_started,2024-10-23,free,0.0
60,13,trial_started,2024-10-11,free,0.0
61,13,trial_converted,2024-10-27,starter,9.99
62,13,subscription_renewed,2024-11-26,starter,9.99
63,13,subscription_renewed,2024-12-26,starter,9.99
64,13,subscription_renewed,2025-01-25,starter,9.99
65,13,subscription_renewed,2025-02-24,starter,9.99
66,13,subscription_renewed,2025-03-26,starter,9.99
67,13,subscription_renewed,2025-04-25,starter,9.99
68,13,subscription_renewed,2025-05-25,starter,9.99
69,13,subscription_renewed,2025-06-24,starter,9.99
70,13,subscription_renewed,2025-07-24,starter,9.99
71,13,subscription_renewed,2025-08-23,starter,9.99
72,13,subscription_renewed,2025-09-22,starter,9.99
73,13,subscription_renewed,2025-10-22,starter,9.99
74,13,subscription_renewed,2025-11-21,starter,9.99
75,13,subscription_renewed,2025-12-21,starter,9.99
76,13,subscription_renewed,2026-01-20,starter,9.99
77,14,trial_started,2025-01-14,free,0.0
78,14,trial_converted,2025-02-03,starter,9.99
79,14,subscription_renewed,2025-03-05,starter,9.99
80,14,subscription_renewed,2025-04-04,starter,9.99
81,14,subscription_renewed,2025-05-04,starter,9.99
82,14,subscription_renewed,2025-06-03,starter,9.99
83,14,subscription_renewed,2025-07-03,starter,9.99
84,14,subscription_renewed,2025-08-02,starter,9.99
85,14,subscription_renewed,2025-09-01,starter,9.99
86,14,subscription_renewed,2025-10-01,starter,9.99
87,14,subscription_renewed,2025-10-31,starter,9.99
88,14,subscription_cancelled,2025-11-28,starter,0.0
89,15,trial_started,2025-10-12,free,0.0
90,16,trial_started,2025-04-18,free,0.0
91,16,trial_converted,2025-05-04,starter,9.99
92,16,subscription_renewed,2025-06-03,starter,9.99
93,16,subscription_renewed,2025-07-03,starter,9.99
94,16,subscription_renewed,2025-08-02,starter,9.99
95,16,subscription_renewed,2025-09-01,starter,9.99
96,16,subscription_renewed,2025-10-01,starter,9.99
97,16,subscription_renewed,2025-10-31,starter,9.99
98,16,subscription_renewed,2025-11-30,starter,9.99
99,16,subscription_renewed,2025-12-30,starter,9.99
100,16,subscription_renewed,2026-01-29,starter,9.99
101,17,trial_started,2025-12-02,free,0.0
102,17,trial_converted,2025-12-19,starter,9.99
103,17,subscription_renewed,2026-01-18,starter,9.99
104,18,trial_started,2024-02-02,free,0.0
105,18,trial_converted,2024-02-11,starter,9.99
106,18,subscription_renewed,2024-03-12,starter,9.99
107,18,subscription_renewed,2024-04-11,starter,9.99
108,18,subscription_renewed,2024-05-11,starter,9.99
109,18,subscription_renewed,2024-06-10,starter,9.99
110,18,subscription_renewed,2024-07-10,starter,9.99
111,18,subscription_renewed,2024-08-09,starter,9.99
112,18,subscription_renewed,2024-09-08,starter,9.99
113,18,subscription_renewed,2024-10-08,starter,9.99
114,18,subscription_renewed,2024-11-07,starter,9.99
115,18,subscription_renewed,2024-12-07,starter,9.99
116,18,subscription_renewed,2025-01-06,starter,9.99
117,18,subscription_renewed,2025-02-05,starter,9.99
118,18,subscription_renewed,2025-03-07,starter,9.99
119,18,subscription_renewed,2025-04-06,starter,9.99
120,18,subscription_renewed,2025-05-06,starter,9.99
121,18,subscription_renewed,2025-06-05,starter,9.99
122,18,subscription_renewed,2025-07-05,starter,9.99
