event_id,user_id,feature_used,event_date,session_duration_seconds
1,1,notifications,2025-12-13,2948
2,1,team_management,2025-11-10,399
3,2,billing,2025-07-13,2686
4,2,billing,2025-01-30,3033
5,2,data_export,2024-12-20,497
6,3,billing,2025-10-23,1516
7,3,notifications,2025-09-06,2927
8,3,billing,2025-10-15,3270
9,3,notifications,2025-10-31,684
10,3,notifications,2025-10-14,1588
11,3,reporting,2025-09-01,1402
12,3,reporting,2025-09-15,3588
13,4,billing,2025-06-23,240
14,4,api_access,2025-07-24,1297
15,4,team_management,2025-09-02,1212
16,4,reporting,2025-08-20,511
17,4,reporting,2025-06-17,44
18,4,api_access,2025-08-19,80
19,4,team_management,2025-07-29,3533
20,4,notifications,2025-08-03,3337
21,4,notifications,2025-06-01,2051
22,4,reporting,2025-07-01,2441
23,4,team_management,2025-08-24,1888
24,4,team_management,2025-07-23,355
25,5,reporting,2024-08-19,2271
26,5,notifications,2025-05-24,2604
27,5,data_export,2025-03-13,787
28,5,data_export,2025-01-11,2705
29,5,data_export,2025-08-05,625
30,5,billing,2024-09-15,2397
31,5,api_access,2025-06-14,389
32,5,data_export,2024-10-02,1737
33,5,reporting,2025-02-11,2782
34,5,notifications,2025-05-31,2737
35,5,team_management,2025-02-10,3099
36,5,data_export,2025-08-16,411
37,5,api_access,2025-06-15,1539
38,5,data_export,2025-09-05,3136
39,6,data_export,2026-01-19,1229
40,6,reporting,2026-01-14,529
41,6,api_access,2026-01-28,1378
42,6,team_management,2026-01-17,2178
43,6,billing,2025-12-28,886
44,6,data_export,2026-01-23,477
45,6,billing,2026-01-20,2606
46,6,data_export,2026-01-17,2011
47,6,billing,2026-01-30,2507
48,6,api_access,2026-01-29,1779
49,6,api_access,2026-01-22,1093
50,7,notifications,2025-09-30,1479
51,7,notifications,2025-02-14,2334
52,7,notifications,2025-08-21,3016
53,7,team_management,2025-10-29,2047
54,7,reporting,2026-01-27,2526
55,8,api_access,2025-12-15,822
56,8,data_export,2024-12-18,128
57,8,billing,2025-08-13,3293
58,8,billing,2025-02-16,3503
59,8,notifications,2025-04-03,1728
60,8,data_export,2025-07-17,1397
61,8,notifications,2025-06-15,3331
62,8,reporting,2025-11-09,76
63,8,reporting,2025-11-10,2856
64,8,api_access,2025-05-11,3266
65,8,api_access,2025-01-21,1259
66,8,notifications,2025-09-03,1356
67,8,data_export,2026-01-14,496
68,8,api_access,2025-12-04,1428
69,8,billing,2025-07-08,2360
70,8,data_export,2025-10-29,3438
71,8,reporting,2025-03-17,1383
72,8,billing,2025-06-09,1992
73,8,data_export,2025-08-17,2674
74,8,team_management,2025-02-25,666
75,8,team_management,2025-11-04,3573
76,8,api_access,2025-09-18,1924
77,9,data_export,2026-01-09,3450
78,9,api_access,2025-11-13,2344
79,9,billing,2026-01-04,1322
80,9,notifications,2025-11-22,106
81,10,billing,2025-12-13,1388
82,10,data_export,2025-10-17,641
83,10,data_export,2025-09-28,1419
84,10,billing,2025-10-23,2218
85,10,notifications,2025-08-30,2510
86,10,reporting,2025-10-26,2467
87,10,api_access,2025-08-17,2918
88,10,billing,2025-10-07,159
89,11,data_export,2025-11-27,2065
90,11,api_access,2025-10-13,1881
91,11,reporting,2025-10-30,2180
92,12,data_export,2025-01-20,1562
93,12,data_export,2025-11-28,3215
94,12,data_export,2025-02-03,1847
95,13,team_management,2024-10-23,2078
96,13,reporting,2024-12-28,1423
97,13,team_management,2026-01-26,3030
98,13,notifications,2026-01-01,1301
99,13,api_access,2025-11-12,616
100,13,data_export,2025-11-08,3397
101,13,billing,2025-07-02,573
102,13,billing,2025-01-24,179
103,13,team_management,2025-06-03,2953
104,13,notifications,2025-12-27,504
105,13,api_access,2024-10-13,210
106,13,notifications,2025-09-27,386
107,13,team_management,2025-03-30,218
108,14,billing,2025-10-07,3083
109,14,data_export,2025-06-22,2395
110,15,reporting,2026-01-01,1344
111,15,reporting,2025-11-06,1203
